,Category ID,Category Name,Keywords,Long Name,Name,Short Name
0,69150467,accessories,"handmade accessories, handmade belt, handmade hat, handmade wallet, handmade scarf, handmade keychain, handmade necktie, handmade accessory",Accessories,accessories,Accessories
1,68887312,art,"handmade art, handcrafted art, folk art, arts and crafts, fine art, painting, original art, sculpture, prints, art reproductions, collectible art, ACEO",Art,art,Art
2,69150455,bags_and_purses,"handmade bag, handcrafted purse, handsewn purse, handmade purses, handmade bags, purse, purses, bag, bags",Bags and Purses,bags_and_purses,Bags and Purses
3,68887336,bath_and_beauty,"handmade soap, handcrafted soap, handmade soaps, handcrafted soaps, handmade lotion, handmade lotions, soap, soaps, lotion, lotions",Bath and Beauty,bath_and_beauty,Bath and Beauty
4,69150385,books_and_zines,"handmade books, handcrafted book, zine, journal, comic, original comic, book art, bookmark, blank book, handbound books",Books and Zines,books_and_zines,Books and Zines
5,69150375,candles,"handmade candles, hand-dipped incense, beeswax candle, travel candle, soy candle, vegan candle, candle, candles, incense",Candles,candles,Candles
6,69150451,ceramics_and_pottery,"handmade ceramics, handmade pottery, handcrafted pottery, handcrafted ceramics, pottery, ceramics",Ceramics and Pottery,ceramics_and_pottery,Ceramics and Pottery
7,69150405,children,"handmade childrens toys, handsewn kids clothes, children, baby, toddler, babies, kids, child, childrens clothing, childrens, furniture, toys",Children,children,Children
8,69150353,clothing,"handmade clothing, handcrafted clothes, hand-altered clothing, shirt, dress, handmade shoes, pants, mens clothing, womens clothing, reconstructed clothing",Clothing,clothing,Clothing
9,69150341,crochet,"Shop for unique, crocheted items on Etsy, a global handmade marketplace. Browse crocheted accessories, cozies, housewares & more from independent artisans.",Crochet,crochet,Crochet
10,69150415,dolls_and_miniatures,"Shop for unique, handmade dolls and miniatures on Etsy, a global handmade marketplace. Browse art dolls, collectibles, dollhouse miniatures, puppets & more from independent artisans.",Dolls and Miniatures,dolls_and_miniatures,Dolls and Miniatures
11,68887416,everything_else,"personalized handmade items, graphic design, custom design, handmade religious, handcrafted taxidermy",Everything Else,everything_else,Everything Else
12,68887430,furniture,"handmade furniture, handcrafted furniture, handmade bed, handmade chair, handmade table, wooden furniture, metal furniture",Furniture,furniture,Furniture
13,69150359,geekery,"handmade geekery, video game fan art, gag gifts, novelty gifts, kitschy jewelry",Geekery,geekery,Geekery
14,69150361,glass,"handmade glass, handcrafted glass, lampwork beads, glass jewelry, glass blowing, ornaments, glass bowl, stained glass",Glass,glass,Glass
15,68887366,holidays,"handmade decorations, handcrafted decorations, handmade card, handmade cards, handmade holiday, handmade christmas",Holidays,holidays,Holidays
16,69150425,housewares,"handmade housewares, handcrafted home decor, kitchen, home decor, home goods, pillows, dishes, mirrors, picture frames, coasters",Housewares,housewares,Housewares
17,68887482,jewelry,"handmade jewelry, handcrafted jewelry, hand made jewelry, artisan jewelry, custom jewelry, jewelry, jewellry",Jewelry,jewelry,Jewelry
18,68887400,knitting,"knit, knitting, knitted, handmade knit, handmade knitting, handmade knitted",Knitting,knitting,Knitting
19,68887460,music,"handmade music, original music, self-published cd, cassette tape, musical instrument, handcrafted instruments, guitar, music accessories",Music,music,Music
20,68887406,needlecraft,"needlecraft, handmade embroidery, needlepoint, cross stitch, felting, needle felting, pincushion",Needlecraft,needlecraft,Needlecraft
21,69150367,paper_goods,"handmade paper goods, handmade stationery, handmade paper, handmade gift wrap, handmade wrap",Paper Goods,paper_goods,Paper Goods
22,68887486,patterns,"handmade patterns, original patterns, sewing pattern, clothing pattern, knitting patterns, crochet patterns, patternmaking",Patterns,patterns,Patterns
23,68887434,pets,"handmade collar, handmade pet toys, handmade pet treats, organic pet treats, leash, pet bed, pet toys, cat, dog",Pets,pets,Pets
24,68887346,plants_and_edibles,"handmade food, homemade food, artisan food, gourmet food, baked goods, spices, homegrown herbs, artisan tea, roasted coffee, jam, candy",Plants and Edibles,plants_and_edibles,Plants and Edibles
25,68887502,quilts,"handmade quilts, handcrafted quilts, quilt, quilts, blankets, bed quilt, appliqued quilt, wall hanging, fiber art",Quilts,quilts,Quilts
26,69150433,supplies,"handmade supplies, craft supplies, craft materials, art beads, beads, buttons, handspun yarn, hand dyed yarn, yarn, patterns, scrapbooking supplies",Supplies,supplies,Supplies
27,69150393,toys,"handmade toys, handcrafted toys, childrens toys, wooden toy, plushie, doll, games, collectible toys",Toys,toys,Toys
28,69150437,vintage,"vintage clothing, vintage, retro, thrift stores, thrifted, vintage collectibles, vintage home decor",Vintage,vintage,Vintage
29,68887494,weddings,"handmade wedding invitations, wedding invitations, custom invitations, wedding favors, unique wedding jewelry, letterpress invitations",Weddings,weddings,Weddings
30,68887388,woodworking,"handmade woodworking, wood, wooden furniture, handcrafted from wood, wood jewelry, wood sculpture, woodworking",Woodworking,woodworking,Woodworking
